Model type,C,neg,mode,K,adjIA,R,ss,s,IntType
glv,0.005,40,3,50,FALSE,100,0.7,100,klemm1
glv,0.01,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.01,50,3,50,FALSE,100,0.8,100,random
glv,0.01,0,3,50,FALSE,100,0.8,100,klemm1
glv,0.01,0,3,50,FALSE,100,0.8,100,random
glv,0.01,100,3,50,FALSE,100,0.8,100,klemm1
glv,0.01,100,3,50,FALSE,100,0.8,100,random
glv,0.01,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.01,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.01,40,1,50,FALSE,100,0.8,100,random
glv,0.01,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.01,40,2,50,FALSE,100,0.8,100,klemm2
glv,0.01,40,2,50,FALSE,100,0.8,100,random
glv,0.01,40,3,50,FALSE,100,0.8,100,klemm1
glv,0.01,40,3,50,FALSE,100,0.8,100,klemm2
glv,0.01,40,3,50,FALSE,100,0.8,100,random
glv,0.01,40,3,50,FALSE,100,0.75,100,klemm1
glv,0.01,40,3,50,TRUE,100,0.8,100,klemm1
glv,0.01,40,3,50,FALSE,100,0.7,100,klemm1
glv,0.01,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.01,50,3,50,FALSE,100,0.8,100,random
glv,0.02,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.02,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.02,40,1,50,FALSE,100,0.8,100,random
glv,0.02,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.02,40,2,50,FALSE,100,0.8,100,klemm2
glv,0.02,40,2,50,FALSE,100,0.8,100,random
glv,0.02,40,3,50,FALSE,100,0.8,100,klemm1
glv,0.02,40,3,50,FALSE,100,0.8,100,klemm2
glv,0.02,40,3,50,FALSE,100,0.8,100,random
glv,0.02,40,3,50,FALSE,100,0.75,100,klemm1
glv,0.02,40,3,50,TRUE,100,0.8,100,klemm1
glv,0.02,40,3,50,FALSE,100,0.7,100,klemm1
glv,0.03,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.03,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.03,40,1,50,FALSE,100,0.8,100,random
glv,0.03,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.03,40,2,50,FALSE,100,0.8,100,klemm2
glv,0.03,40,2,50,FALSE,100,0.8,100,random
glv,0.03,40,3,50,FALSE,100,0.8,100,klemm1
glv,0.03,40,3,50,FALSE,100,0.8,100,klemm2
glv,0.03,40,3,50,FALSE,100,0.8,100,random
glv,0.03,40,3,50,FALSE,100,0.75,100,klemm1
glv,0.03,40,3,50,TRUE,100,0.8,100,klemm1
glv,0.03,40,3,50,FALSE,100,0.7,100,klemm1
glv,0.03,60,1,10,FALSE,50,0.8,100,klemm1
glv,0.03,60,1,10,FALSE,50,0.8,100,klemm2
glv,0.03,60,1,10,FALSE,50,0.8,100,random
glv,0.03,60,1,20,FALSE,50,0.8,100,klemm1
glv,0.03,60,1,20,FALSE,50,0.8,100,klemm2
glv,0.03,60,1,20,FALSE,50,0.8,100,random
glv,0.03,60,1,30,FALSE,50,0.8,100,klemm1
glv,0.03,60,1,30,FALSE,50,0.8,100,klemm2
glv,0.03,60,1,30,FALSE,50,0.8,100,random
glv,0.03,60,3,10,FALSE,50,0.8,100,klemm1
glv,0.03,60,3,10,FALSE,50,0.8,100,klemm2
glv,0.03,60,3,10,FALSE,50,0.8,100,random
glv,0.03,60,3,20,FALSE,50,0.8,100,klemm1
glv,0.03,60,3,20,FALSE,50,0.8,100,klemm2
glv,0.03,60,3,20,FALSE,50,0.8,100,random
glv,0.03,60,3,30,FALSE,50,0.8,100,klemm1
glv,0.03,60,3,30,FALSE,50,0.8,100,klemm2
glv,0.03,60,3,30,FALSE,50,0.8,100,random
glv,0.04,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.04,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.04,40,1,50,FALSE,100,0.8,100,random
glv,0.04,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.04,40,2,50,FALSE,100,0.8,100,klemm2
glv,0.04,40,2,50,FALSE,100,0.8,100,random
glv,0.04,40,3,50,FALSE,100,0.8,100,klemm1
glv,0.04,40,3,50,FALSE,100,0.8,100,klemm2
glv,0.04,40,3,50,FALSE,100,0.8,100,random
glv,0.04,40,3,50,FALSE,100,0.75,100,klemm1
glv,0.04,40,3,50,TRUE,100,0.8,100,klemm1
glv,0.04,40,3,50,FALSE,100,0.7,100,klemm1
glv,0.05,0,3,50,FALSE,100,0.8,100,klemm1
glv,0.05,0,3,50,FALSE,100,0.8,100,random
glv,0.05,100,3,50,FALSE,100,0.4,100,klemm1
glv,0.05,100,3,50,FALSE,100,0.4,100,random
glv,0.05,100,3,50,FALSE,100,0.8,100,klemm1
glv,0.05,100,3,50,FALSE,100,0.8,100,random
glv,0.05,40,1,30,FALSE,10,0.8,100,klemm1
glv,0.05,40,1,30,FALSE,10,0.8,100,klemm2
glv,0.05,40,1,30,FALSE,10,0.8,100,random
glv,0.05,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.05,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.05,40,1,50,FALSE,100,0.8,100,random
glv,0.05,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.05,40,2,50,FALSE,100,0.8,100,klemm2
glv,0.05,40,2,50,FALSE,100,0.8,100,random
glv,0.05,40,3,50,FALSE,100,0.8,100,klemm1
glv,0.05,40,3,50,FALSE,100,0.8,100,klemm2
glv,0.05,40,3,50,FALSE,100,0.8,100,random
glv,0.05,40,3,50,FALSE,100,0.75,100,klemm1
glv,0.05,50,1,50,FALSE,100,0.8,100,klemm1
glv,0.05,50,1,50,FALSE,100,0.8,100,klemm2
glv,0.05,50,1,50,FALSE,100,0.8,100,random
glv,0.05,50,1,50,TRUE,100,0.8,100,klemm1
glv,0.05,50,1,50,TRUE,100,0.8,100,klemm2
glv,0.05,50,1,50,TRUE,100,0.8,100,random
glv,0.05,50,2,50,FALSE,100,0.8,100,klemm1
glv,0.05,50,2,50,FALSE,100,0.8,100,klemm2
glv,0.05,50,2,50,FALSE,100,0.8,100,random
glv,0.05,50,2,50,TRUE,100,0.8,100,klemm1
glv,0.05,50,2,50,TRUE,100,0.8,100,klemm2
glv,0.05,50,2,50,TRUE,100,0.8,100,random
glv,0.05,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.05,50,3,50,FALSE,100,0.8,100,klemm2
glv,0.05,50,3,50,FALSE,100,0.8,100,random
glv,0.05,50,3,50,TRUE,100,0.8,100,klemm1
glv,0.05,50,3,50,TRUE,100,0.8,100,klemm2
glv,0.05,50,3,50,TRUE,100,0.8,100,random
glv,0.05,50,3,50,FALSE,100,0.4,100,klemm1
glv,0.05,50,3,50,FALSE,100,0.4,100,random
glv,0.05,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.05,50,3,50,FALSE,100,0.8,100,random
glv,0.05,50,3,50,FALSE,100,0.9,100,klemm1
glv,0.05,50,3,50,FALSE,100,0.9,100,random
glv,0.05,50,3,50,FALSE,100,0.95,100,klemm1
glv,0.05,50,3,50,FALSE,100,0.95,100,random
glv,0.05,50,3,50,FALSE,100,0.95,50,klemm1
glv,0.05,50,3,50,FALSE,100,0.95,50,random
glv,0.05,60,3,50,FALSE,100,0.7,100,klemm1
glv,0.05,60,3,50,FALSE,100,0.7,100,random
glv,0.06,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.06,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.06,40,1,50,FALSE,100,0.8,100,random
glv,0.06,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.06,40,2,50,FALSE,100,0.8,100,klemm2
glv,0.06,40,2,50,FALSE,100,0.8,100,random
glv,0.06,40,3,50,FALSE,100,0.8,100,klemm1
glv,0.06,40,3,50,FALSE,100,0.8,100,klemm2
glv,0.06,40,3,50,FALSE,100,0.8,100,random
glv,0.06,50,1,50,FALSE,100,0.8,100,klemm1
glv,0.06,50,1,50,FALSE,100,0.8,100,klemm2
glv,0.06,50,1,50,FALSE,100,0.8,100,random
glv,0.06,50,1,50,TRUE,100,0.8,100,klemm1
glv,0.06,50,1,50,TRUE,100,0.8,100,klemm2
glv,0.06,50,1,50,TRUE,100,0.8,100,random
glv,0.06,50,2,50,FALSE,100,0.8,100,klemm1
glv,0.06,50,2,50,FALSE,100,0.8,100,klemm2
glv,0.06,50,2,50,FALSE,100,0.8,100,random
glv,0.06,50,2,50,TRUE,100,0.8,100,klemm1
glv,0.06,50,2,50,TRUE,100,0.8,100,klemm2
glv,0.06,50,2,50,TRUE,100,0.8,100,random
glv,0.06,50,3,50,FALSE,100,0.8,100,klemm1
glv,0.06,50,3,50,FALSE,100,0.8,100,klemm2
glv,0.06,50,3,50,FALSE,100,0.8,100,random
glv,0.06,50,3,50,TRUE,100,0.8,100,klemm1
glv,0.06,50,3,50,TRUE,100,0.8,100,klemm2
glv,0.06,50,3,50,TRUE,100,0.8,100,random
glv,0.06,60,1,10,FALSE,50,0.8,100,klemm1
glv,0.06,60,1,10,FALSE,50,0.8,100,klemm2
glv,0.06,60,1,10,FALSE,50,0.8,100,random
glv,0.06,60,1,20,FALSE,50,0.8,100,klemm1
glv,0.06,60,1,20,FALSE,50,0.8,100,klemm2
glv,0.06,60,1,20,FALSE,50,0.8,100,random
glv,0.06,60,1,30,FALSE,50,0.8,100,klemm1
glv,0.06,60,1,30,FALSE,50,0.8,100,klemm2
glv,0.06,60,1,30,FALSE,50,0.8,100,random
glv,0.06,60,1,50,FALSE,50,0.8,100,klemm1
glv,0.06,60,1,50,FALSE,50,0.8,100,klemm2
glv,0.06,60,1,50,FALSE,50,0.8,100,random
glv,0.06,60,1,60,FALSE,50,0.8,100,klemm1
glv,0.06,60,1,60,FALSE,50,0.8,100,klemm2
glv,0.06,60,1,60,FALSE,50,0.8,100,random
glv,0.06,60,1,70,FALSE,50,0.8,100,klemm1
glv,0.06,60,1,70,FALSE,50,0.8,100,klemm2
glv,0.06,60,1,70,FALSE,50,0.8,100,random
glv,0.06,60,3,10,FALSE,50,0.8,100,klemm1
glv,0.06,60,3,10,FALSE,50,0.8,100,klemm2
glv,0.06,60,3,10,FALSE,50,0.8,100,random
glv,0.06,60,3,20,FALSE,50,0.8,100,klemm1
glv,0.06,60,3,20,FALSE,50,0.8,100,klemm2
glv,0.06,60,3,20,FALSE,50,0.8,100,random
glv,0.06,60,3,30,FALSE,50,0.8,100,klemm1
glv,0.06,60,3,30,FALSE,50,0.8,100,klemm2
glv,0.06,60,3,30,FALSE,50,0.8,100,random
glv,0.07,40,1,50,TRUE,100,0.8,100,klemm1
glv,0.07,40,1,50,TRUE,100,0.8,100,klemm2
glv,0.07,40,1,50,TRUE,100,0.8,100,random
glv,0.07,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.07,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.07,40,1,50,FALSE,100,0.8,100,random
glv,0.07,40,2,50,TRUE,100,0.8,100,klemm1
glv,0.07,40,2,50,TRUE,100,0.8,100,klemm2
glv,0.07,40,2,50,TRUE,100,0.8,100,random
glv,0.07,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.07,40,2,50,FALSE,100,0.8,100,klemm2
glv,0.07,40,2,50,FALSE,100,0.8,100,random
glv,0.07,40,3,50,FALSE,100,0.8,100,klemm1
glv,0.07,40,3,50,FALSE,100,0.8,100,klemm2
glv,0.07,40,3,50,FALSE,100,0.8,100,random
glv,0.08,40,1,50,FALSE,100,0.8,100,klemm1
glv,0.08,40,1,50,FALSE,100,0.8,100,klemm2
glv,0.08,40,1,50,FALSE,100,0.8,100,random
glv,0.08,40,2,50,FALSE,100,0.8,100,klemm1
glv,0.08,40,2,50,FALSE,100,0.8,100,klemm2
